q,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,var_qi,i,Q,var_agg_i
0,36205256234.05884,35388320143.89943,34730829269.81901,34243480519.333035,33734582255.76021,33426264265.364723,33259729717.81332,33134052278.640194,33134769852.212414,33173314218.207947,33410655843.98053,33780465883.93749,34216062096.12728,34857480883.178795,35534081937.74263,36287762461.39383,0.00018923786450834393,1,10,0.0001956679198468915
1,36653837804.98824,35883653274.98623,35056035791.87085,34769331153.95683,34220394367.246513,33638401295.400387,33278467060.77113,33072303576.069954,33025812391.76277,32905971092.79774,32963777524.906853,33397367031.873314,33726223952.32886,34351367647.849148,35165481748.226105,35934408046.119804,0.00022870547140095928,1,10,0.0001956679198468915
2,34930104918.25804,34671906724.66881,34166643820.56213,33689050092.77868,33155605362.00098,32947531918.718822,32762190567.72852,32895165494.709263,33493499373.070107,34018310681.980354,34169083573.294598,34620214424.833466,34533824348.74772,35174341105.282166,35609868218.40566,36673861587.66027,0.00018333104093127016,1,10,0.0001956679198468915
3,36930557748.86851,35844026386.93918,34957657122.34438,34054885539.598583,33803238189.6299,32882539466.813118,32303131546.843575,32697098509.53307,33100895665.688713,32912171201.02978,33612806513.98364,33797815253.792522,34305435576.597473,34494736592.768814,35199024230.23751,36072447374.10774,0.00028004186393026584,1,10,0.0001956679198468915
4,35617443313.57422,35372336040.63481,35395025907.4125,33112290854.586784,32291573942.47657,32392629614.622395,32361253363.390266,32430609096.298462,33107218282.871227,32725735567.745884,32983154613.155125,33645921746.29404,34943817349.147095,36110711564.80766,36953276119.87108,39450525238.04901,0.0006473624153754543,1,10,0.0001956679198468915
5,32898978613.02667,32696630716.27205,34414866607.891365,34486321927.48184,34425596367.61182,33695651077.39483,33163784607.73979,33713484507.295616,33455038928.125782,34858587255.24611,34951584030.16961,34856384217.226105,32604846972.434376,33176402092.339558,34483602408.286575,35140086174.13479,0.0001222816738583421,1,10,0.0001956679198468915
6,34070716690.168934,32806292519.21837,31698145683.13631,32208950432.026398,32222986259.08555,34313331253.074898,33305258586.148643,32296821432.80608,35360306551.99118,36896571816.60726,34825695567.896034,36083255691.76991,36707069105.641136,35635683547.149414,35486728542.17501,36449666592.360115,0.0005095001178933253,1,10,0.0001956679198468915
7,35783451987.769585,34824712688.03376,37070585294.828476,36687884124.601944,31519903524.638382,30959666649.420094,34975119881.050125,33171741511.948338,31721599348.78412,34228372406.010174,33379311805.580975,34005666598.60889,32963073310.6076,32892972680.018627,34326452287.328014,38942521567.96812,0.0007269227824496457,1,10,0.0001956679198468915
8,28467491791.10248,29812692631.28409,27004270490.04781,22747056741.111866,28516167073.48278,29553375549.32335,36317389779.67612,32901275562.45087,32130565229.536873,31749012194.019592,30525193129.396656,29129856212.200348,25020771124.26514,25098837665.745674,23868037723.97129,27820549849.133274,0.0029258933734714753,1,10,0.0001956679198468915
9,26746856230.85515,25829518210.311054,33647838349.473,31375985172.28128,31105363546.11798,35941074744.69732,41498308480.3772,40792121210.39334,53180268908.925575,47065158172.490204,40407747801.806946,38897552876.40981,44674050701.46944,44167076592.49716,40134217975.823746,48762121498.03592,0.008250829449449843,1,10,0.0001956679198468915
