PYOD,YEAR,VART,ID
KP,1998,22886511,302
KR,1997,3328024686,7222
KR,1998,3132858328,6298
KW,1997,357086136,2302
KW,1998,380022429,2165
KY,1997,17118468,177
KY,1998,13421248,180
KZ,1997,190865427,467
KZ,1998,154161884,470
LA,1997,30093610,246
LA,1998,28329766,259
LB,1997,760077557,5884
LB,1998,681469078,6017
LC,1997,6172977,245
LC,1998,7005529,264
LI,1997,47801804,219
LI,1998,68120725,237
LK,1997,196820879,1259
LK,1998,195383936,1334
LR,1997,158492010,131
LR,1998,737642189,197
LS,1997,3894641,39
LS,1998,733398,18
LT,1997,267860025,1605
LT,1998,321131826,1894
LV,1997,109478553,1045
LV,1998,133539133,1241
LY,1997,744950706,526
LY,1998,565634300,530
MA,1997,4355669287,13512
MA,1998,4810783030,13842
MD,1997,39686853,257
MD,1998,41809447,311
MG,1997,464566642,4647
MG,1998,563693680,5058
MH,1997,63550,5
MH,1998,200531,6
MK,1997,52756060,487
MK,1998,71407856,527
ML,1997,168855920,2675
ML,1998,185242814,2706
MM,1997,62455285,290
MM,1998,57980835,333
MN,1997,8254839,64
MN,1998,11478699,74
MO,1997,175420698,611
MO,1998,206163408,596
MP,1997,2740147,32
MP,1998,437438,21
MQ,1997,16953169,23
MQ,1998,5205271,12
MR,1997,206148270,1480
MR,1998,212804507,1422
MS,1997,339164,12
MS,1998,319707,21
MT,1997,557317938,1389
MT,1998,611204330,1527
MU,1997,626276306,3812
MU,1998,530017735,3908
MV,1997,2024195,94
MV,1998,3120029,101
MW,1997,12162019,84
MW,1998,14261581,82
MX,1997,1424713027,3897
MX,1998,1655377866,4243
MY,1997,2397783371,4330
MY,1998,2054760040,3890
MZ,1997,18066360,175
MZ,1998,19935660,191
NC,1997,490898568,7254
NC,1998,459973823,7431
NE,1997,93473219,1485
NE,1998,226440898,1597
NG,1997,1040859252,1304
NG,1998,1177300165,1443
NI,1997,25030244,143
NI,1998,27105063,160
NL,1997,24350259647,38097
NL,1998,26023767525,39197
NO,1997,5751727748,6795
NO,1998,4885631127,7126
NP,1997,15392715,372
NP,1998,23979687,404
NR,1997,1524,1
NR,1998,5775,3
NZ,1997,350670173,2243
NZ,1998,370360694,2403
OM,1997,126893368,897
OM,1998,192029426,935
PA,1997,182612235,646
PA,1998,153354157,726
PE,1997,246867307,1299
PE,1998,275078236,1214
PF,1997,340889451,5826
PF,1998,370907380,6233
PG,1997,9499162,86
PG,1998,7771011,92
PH,1997,1861702798,2717
PH,1998,1044364048,2695
PK,1997,523596079,2335
PK,1998,511825630,2343
PL,1997,3191205147,9357
PL,1998,3729615620,10853
PM,1997,19831258,1274
PM,1998,22409432,1254
PN,1997,6708,1
PT,1997,6404624061,18835
PT,1998,7053141896,19728
PW,1997,253395,7
PW,1998,5028,2
PY,1997,47875226,416
PY,1998,41825921,422
QA,1997,454559136,1278
QA,1998,351551676,1367
QQ,1997,6465497,804
QQ,1998,12315041,954
QU,1997,995305039,1358
QU,1998,913650434,1403
QW,1998,10226729,1
RE,1997,160522,16
RE,1998,207675,20
RO,1997,1008026137,3331
RO,1998,1247174814,3815
RU,1997,5358098955,5176
RU,1998,4205118227,5194
RW,1997,12272805,303
RW,1998,16785769,315
SA,1997,3656361060,4634
SA,1998,2885766380,4653
SB,1997,277214,16
SB,1998,846281,11
SC,1997,52952400,439
SC,1998,47385065,434
SD,1997,85526695,375
SD,1998,196004150,423
SE,1997,7336708224,11837
SE,1998,7767381535,12425
SG,1997,4388526551,5977
SG,1998,3627259084,5419
SH,1997,1372454,8
SH,1998,116541,4
SI,1997,1385210986,2767
SI,1998,1873499256,2912
SK,1997,551317325,2224
SK,1998,745512752,2349
SL,1997,9140187,144
SL,1998,6633975,88
SM,1997,35708623,347
SM,1998,25654826,337
SN,1997,551296705,5803
SN,1998,625286473,6231
SO,1997,4443051,23
SO,1998,4475042,19
SR,1997,45275911,140
SR,1998,60553145,157
ST,1997,2201901,166
ST,1998,2360134,141
SV,1997,165008532,267
SV,1998,216980879,306
SY,1997,644396173,1573
SY,1998,584902859,1522
SZ,1997,43198118,66
SZ,1998,44293225,63
TC,1997,770370,45
TC,1998,651025,32
TD,1997,50777870,939
TD,1998,60088669,940
TG,1997,123032028,2785
TG,1998,118647870,2958
TH,1997,2175769862,6003
TH,1998,2832870506,5607
TJ,1997,25002441,48
TJ,1998,16344031,52
TM,1997,39611742,114
TM,1998,43647899,133
TN,1997,3099878008,12265
TN,1998,3488189788,12753
TO,1997,51311,5
TO,1998,28653,8
TR,1997,3709283074,8713
TR,1998,3998785823,9179
TT,1997,183559495,455
TT,1998,182256070,438
TV,1997,16086,5
TV,1998,8615,4
TW,1997,4214808239,11292
TW,1998,4094949754,10920
TZ,1997,35771977,338
TZ,1998,29548997,339
UA,1997,402499156,1511
UA,1998,438859555,1619
UG,1997,61720380,234
UG,1998,55714750,261
US,1997,37245586377,37084
US,1998,42771017007,38321
UY,1997,186254008,1226
UY,1998,194721370,1271
UZ,1997,146049229,258
UZ,1998,210796247,263
VA,1997,347222,20
VA,1998,467050,26
VC,1997,63545441,130
VC,1998,21549783,139
VE,1997,488526343,1671
VE,1998,498523540,1783
VG,1997,19995257,160
VG,1998,20528563,132
VI,1997,19047057,142
VI,1998,7798054,130
VN,1997,823521086,2588
VN,1998,791001236,2609
VU,1997,6711780,231
VU,1998,6208610,216
WF,1997,137628008,369
WF,1998,40702343,301
WS,1997,1074387,9
WS,1998,95013,12
XA,1997,23629146,156
XA,1998,17609098,151
XE,1997,1013737,2
XE,1998,2287,1
XG,1997,10311981,78
XG,1998,8426454,105
XH,1997,245,1
XI,1997,6047905,47
XI,1998,1164894,46
XN,1998,460417,1
XO,1997,101404,14
XO,1998,531741,19
XP,1997,4573240,46
XP,1998,5847565,56
XR,1997,2914520,74
XR,1998,1292461,64
XS,1998,4233,1
XU,1997,40720769290,61744
XU,1998,41883017540,63554
XV,1997,47041950,21
XV,1998,52868169,24
XZ,1997,524347,13
XZ,1998,97121,5
YE,1997,390157299,433
YE,1998,148985501,450
YT,1997,68917775,2128
YT,1998,75149324,2275
YU,1997,184785374,1115
YU,1998,173009731,1120
ZA,1997,1516834781,4797
ZA,1998,1716585834,5114
ZM,1997,81754708,152
ZM,1998,78147354,160
ZW,1997,84706397,547
ZW,1998,75628842,495
