CPA ID 6,CPA label 6,CPA ID 4,CPA ID 3,CPA ID 2,CPA label 4,CPA label 3,CPA label 2,CPA ID 1
105112,"Milk and cream of > 6% fat, not concentrated or sweetened",1051,105,10,Dairy and cheese products,Dairy products,Food products,C
105121,Skimmed milk powder,1051,105,10,Dairy and cheese products,Dairy products,Food products,C
105122,Whole milk powder,1051,105,10,Dairy and cheese products,Dairy products,Food products,C
105130,Butter and dairy spreads,1051,105,10,Dairy and cheese products,Dairy products,Food products,C
105140,Cheese and curd,1051,105,10,Dairy and cheese products,Dairy products,Food products,C
105151,"Milk and cream, concentrated or containing added sugar or other sweetening matter, other than in solid forms",1051,105,10,Dairy and cheese products,Dairy products,Food products,C
105152,Yoghurt and other fermented or acidified milk or cream,1051,105,10,Dairy and cheese products,Dairy products,Food products,C
105153,Casein,1051,105,10,Dairy and cheese products,Dairy products,Food products,C
105154,Lactose and lactose syrup,1051,105,10,Dairy and cheese products,Dairy products,Food products,C
105155,Whey,1051,105,10,Dairy and cheese products,Dairy products,Food products,C
105156,Dairy products n.e.c.,1051,105,10,Dairy and cheese products,Dairy products,Food products,C
105199,Sub-contracted operations as part of manufacturing of dairy and cheese products,1051,105,10,Dairy and cheese products,Dairy products,Food products,C
105210,Ice cream and other edible ice,1052,105,10,Ice cream,Dairy products,Food products,C
105299,Sub-contracted operations as part of manufacturing of ice cream,1052,105,10,Ice cream,Dairy products,Food products,C
106111,Husked rice,1061,106,10,Grain mill products,"Grain mill products, starches and starch products",Food products,C
106112,"Rice, semi- or wholly milled or broken",1061,106,10,Grain mill products,"Grain mill products, starches and starch products",Food products,C
106121,Wheat or maslin flour,1061,106,10,Grain mill products,"Grain mill products, starches and starch products",Food products,C
106122,Other cereal flour,1061,106,10,Grain mill products,"Grain mill products, starches and starch products",Food products,C
106123,Vegetable flour and meal,1061,106,10,Grain mill products,"Grain mill products, starches and starch products",Food products,C
106124,Mixes for preparation of bakers' wares,1061,106,10,Grain mill products,"Grain mill products, starches and starch products",Food products,C
106131,Groats and meal of wheat,1061,106,10,Grain mill products,"Grain mill products, starches and starch products",Food products,C
106132,"Cereal groats, meal and pellets n.e.c.",1061,106,10,Grain mill products,"Grain mill products, starches and starch products",Food products,C
106133,Breakfast cereals and other cereal grain products,1061,106,10,Grain mill products,"Grain mill products, starches and starch products",Food products,C
106140,"Bran, sharps and other residues from the working of cereals",1061,106,10,Grain mill products,"Grain mill products, starches and starch products",Food products,C
106199,Sub-contracted operations as part of manufacturing of grain mill products,1061,106,10,Grain mill products,"Grain mill products, starches and starch products",Food products,C
106211,Starches; inulin; wheat gluten; dextrins and other modified starches,1062,106,10,Starches and starch products,"Grain mill products, starches and starch products",Food products,C
106212,"Tapioca and substitutes prepared from starch in flakes, grains and the like",1062,106,10,Starches and starch products,"Grain mill products, starches and starch products",Food products,C
106213,Glucose and glucose syrup; fructose and fructose syrup; invert sugar; sugars and sugar syrups n.e.c.,1062,106,10,Starches and starch products,"Grain mill products, starches and starch products",Food products,C
106214,Maize oil,1062,106,10,Starches and starch products,"Grain mill products, starches and starch products",Food products,C
106220,Residues of starch manufacture and similar residues,1062,106,10,Starches and starch products,"Grain mill products, starches and starch products",Food products,C
106299,Sub-contracted operations as part of manufacturing of starches and starch products,1062,106,10,Starches and starch products,"Grain mill products, starches and starch products",Food products,C
107111,Fresh bread,1071,107,10,Bread; fresh pastry goods and cakes,Bakery and farinaceous products,Food products,C
107112,Fresh pastry goods and cakes,1071,107,10,Bread; fresh pastry goods and cakes,Bakery and farinaceous products,Food products,C
107199,"Sub-contracted operations as part of manufacturing of fresh or frozen bread, pastry goods and cakes",1071,107,10,Bread; fresh pastry goods and cakes,Bakery and farinaceous products,Food products,C
107211,"Crispbread, rusks, toasted bread and similar toasted products",1072,107,10,Rusks and biscuits; preserved pastry goods and cakes,Bakery and farinaceous products,Food products,C
107212,Gingerbread and the like; sweet biscuits; waffles and wafers,1072,107,10,Rusks and biscuits; preserved pastry goods and cakes,Bakery and farinaceous products,Food products,C
