s,m,diag,compA,compB,count,mean,sum,std,pct10,pct25,pct75,pct90
0.25,0,diag,FE,FE,10,2.269245219846447e+18,2.269245219846447e+19,1.473257961005394e+17,2.1010665839070454e+18,2.146003324563366e+18,2.3877884694785623e+18,2.4650109591662976e+18
0.25,0,diag,FE,base,10,2.091211797731414e+18,2.091211797731414e+19,1.1811330797223636e+18,7.929897444916316e+17,1.170124073908677e+18,2.905900355505153e+18,3.265644413070409e+18
0.25,0,diag,FE,noise,10,5.5913642191196006e+17,5.591364219119601e+18,1.6773055204168448e+18,-5.945321619631942e+17,-3.1766893230548634e+17,5.0269833054527917e+17,1.547276335291266e+18
0.25,0,diag,base,FE,10,2.091211797731414e+18,2.091211797731414e+19,1.1811330797223636e+18,7.929897444916316e+17,1.170124073908677e+18,2.905900355505153e+18,3.265644413070409e+18
0.25,0,diag,base,base,10,4.1522884984654136e+18,4.1522884984654135e+19,5.73438974073078e+18,3.4334100579288096e+17,8.851988830082918e+17,4.3530439449832765e+18,7.742542575121898e+18
0.25,0,diag,base,noise,10,1.535201317334108e+17,1.5352013173341082e+18,9.06850864341586e+17,-7.071605899486341e+17,-2.7236804082552483e+17,4.0972817281714765e+17,7.82312120038361e+17
0.25,0,diag,noise,FE,10,5.5913642191196006e+17,5.591364219119601e+18,1.6773055204168448e+18,-5.945321619631942e+17,-3.1766893230548634e+17,5.0269833054527917e+17,1.547276335291266e+18
0.25,0,diag,noise,base,10,1.535201317334108e+17,1.5352013173341082e+18,9.06850864341586e+17,-7.071605899486341e+17,-2.7236804082552483e+17,4.0972817281714765e+17,7.82312120038361e+17
0.25,0,diag,noise,noise,10,1.9462655054305907e+18,1.9462655054305907e+19,4.693037740640121e+18,1.025329296832886e+17,1.4938862986337226e+17,7.490748410904031e+17,3.157480962949944e+18
0.25,0,offdiag,FE,FE,90,2.2617150760305014e+18,2.0355435684274514e+20,9.32277776938292e+16,2.134311322240385e+18,2.1870385491936197e+18,2.329161788076074e+18,2.372642439749113e+18
0.25,0,offdiag,FE,base,90,2.1123536005963773e+18,1.9011182405367395e+20,1.1830236858514831e+18,7.520468160621955e+17,9.209742682062554e+17,2.941853137806218e+18,3.510685136621738e+18
0.25,0,offdiag,FE,noise,90,5.440450962555913e+17,4.896405866300322e+19,1.524953460646996e+18,-5.875688533939343e+17,-3.274420339881447e+17,5.5258988347013824e+17,1.5474202126610345e+18
0.25,0,offdiag,base,FE,90,2.1123536005963766e+18,1.901118240536739e+20,1.183023685851483e+18,7.520468160621955e+17,9.209742682062554e+17,2.941853137806218e+18,3.510685136621738e+18
0.25,0,offdiag,base,base,90,2.2344543520155453e+18,2.0110089168139908e+20,1.8891744383235994e+18,3.6469051571517594e+17,7.604304467876732e+17,3.0457347065406203e+18,4.655198398924813e+18
