q,m,s,nqs,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,parts
1,0,0.05,4954,12827950097.824535,13106340238.527586,13420028228.632172,13771142636.73581,14389620398.253088,14636090914.238127,14730313549.439852,14858902354.406027,14861999274.101957,15229831624.78718,14983557279.585636,14790389222.130844,14990221283.57396,14882388027.976072,14996881822.457426,15003132017.186039,14946820470.356026,Q
2,0,0.05,1692,12298066844.691666,12586021561.555225,12989155289.833618,13473600518.657055,13996880706.450727,14204312550.608288,14400366906.266949,14560810977.724146,14965792735.873085,15481484174.097237,15326750446.816217,15457659292.137678,15689905552.966549,15365831326.798374,15344045024.749706,15156588625.598986,15211496580.66181,Q
3,0,0.05,715,11831402883.805899,12338209005.740465,12660246219.822845,13143346842.735931,13847968283.573154,14167619026.539062,14320486860.984528,14514843293.449364,14613484437.138243,14908956034.761963,15399481639.767567,15667515586.340164,15682059830.788336,15613048009.988375,16066224414.049303,16021030243.817316,15651728403.14773,Q
4,0,0.05,330,10963949890.303612,11218106683.921673,12207728622.740725,12445863841.152805,12824423089.475504,13772359743.325901,13726574000.47056,14171773159.177082,14982634583.133854,15182501220.391785,15877677592.763569,16009797307.992516,16528791465.438362,16406843383.02462,16697408141.512375,16455482589.278818,16292916549.310019,Q
5,0,0.05,149,10388065250.98449,11209905478.252544,11624480955.992462,11976023003.574951,13413019729.747192,12974847579.490711,13629398083.61598,14354791068.693035,14698530136.553453,15358013525.697197,15710744272.258476,15443346505.630035,16333212305.701313,16881060418.532616,16620981299.819077,17750491567.38073,17668030998.481213,Q
6,0,0.05,57,11279366532.456802,11279366532.456802,11598574663.505516,12561164592.609066,12561164592.609066,13044436835.297203,13154900518.261768,14690935883.268404,14886712981.97972,15187076730.157602,15187076730.157602,15999764568.024256,16328958225.66713,16328958225.66713,15848179042.935448,15848179042.935448,15848179042.935448,Q
7,0,0.05,25,10787664836.19004,10787664836.19004,10900759415.022148,10900759415.022148,10900759415.022148,12882960162.754053,14502181494.585583,15710606817.333336,17311587366.733116,16822860800.349644,17108411478.865948,17108411478.865948,17108411478.865948,17108411478.865948,17108411478.865948,17108411478.865948,17108411478.865948,Q
8,0,0.05,10,9674710500.685783,9674710500.685783,10512471250.044327,11918788109.417274,11918788109.417274,11918788109.417274,11918788109.417274,11918788109.417274,11918788109.417274,11918788109.417274,11918788109.417274,11918788109.417274,19819576649.70976,19819576649.70976,19819576649.70976,18981815900.351215,18981815900.351215,Q
9,0,0.05,3,9644285111.793074,9644285111.793074,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,Q
0,0,0.1,202356,13988189708.965342,14041840985.733446,14234422716.0938,14479497843.218029,14120323390.863508,14128272809.681406,14123357566.10325,14236338050.129055,14411863645.24695,14528471638.297073,14652233944.461891,14902881170.078026,14993664015.307005,15163635897.208647,14347295831.148348,14406189813.866848,15125415569.019974,Q
1,0,0.1,4964,12798127781.051558,13076517921.754602,13391629449.823513,13748263107.816174,14358249770.750961,14604720286.736,14714212370.722998,14843465066.924505,14848273174.59919,15219569640.643444,14973295295.441896,14785357341.421871,14982389178.74128,14874555923.143393,14989299311.61086,14992716948.670761,14939237959.509457,Q
2,0,0.1,1697,12322584033.997335,12610538750.860895,13013672479.139294,13498117707.962723,14021397895.7564,14205755855.692644,14391971031.405478,14539263764.90355,14957396861.011618,15457136737.152935,15302403009.871918,15433311855.193378,15668358340.145956,15344284113.97778,15319697587.805407,15132241188.654686,15187149143.717506,Q
3,0,0.1,717,11779754791.835915,12286560913.770485,12608598127.852861,13091698750.765947,13796320191.603174,14139044818.790392,14291912653.235853,14499420423.659819,14584910229.389572,14893533164.972418,15384058769.978025,15652092716.55062,15666636960.99879,15597625140.19883,16050801544.259754,16005607374.027771,15636305533.358181,Q
4,0,0.1,331,10980257140.130323,11234413933.748384,12224035872.567438,12462171090.979519,12840730339.302217,13788666993.152613,13742881250.297274,14188080409.003796,14998941832.960567,15198808470.218498,15893984842.59028,16026104557.81923,16545098715.265076,16423150632.851334,16713715391.339087,16471789839.105532,16309223799.136732,Q
5,0,0.1,149,10284905478.744015,11106745706.012072,11521321183.75199,11872863231.334478,13309859957.50672,12871687807.250238,13526238311.375507,14251631296.45256,14595370364.31298,15254853753.456722,15607584500.018002,15340186733.38956,16230052533.46084,16777900646.292141,16517821527.578602,17647331795.140255,17564871226.240738,Q
6,0,0.1,58,11446645514.604393,11446645514.604393,11765853645.653107,12728443574.756657,12728443574.756657,13211715817.444794,13322179500.409359,14858214865.415995,15053991964.12731,15354355712.305193,15354355712.305193,16167043550.171846,16496237207.814716,16496237207.814716,16015458025.083038,16015458025.083038,16015458025.083038,Q
7,0,0.1,25,10787664836.19004,10787664836.19004,10900759415.022148,10900759415.022148,10900759415.022148,12882960162.754053,14502181494.585583,15710606817.333336,17311587366.733116,16822860800.349644,17108411478.865948,17108411478.865948,17108411478.865948,17108411478.865948,17108411478.865948,17108411478.865948,17108411478.865948,Q
8,0,0.1,10,9674710500.685783,9674710500.685783,10512471250.044327,11918788109.417274,11918788109.417274,11918788109.417274,11918788109.417274,11918788109.417274,11918788109.417274,11918788109.417274,11918788109.417274,11918788109.417274,19819576649.70976,19819576649.70976,19819576649.70976,18981815900.351215,18981815900.351215,Q
9,0,0.1,3,9644285111.793074,9644285111.793074,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,16060774603.59578,Q
0,0,0.25,202231,13838255039.37992,13884277196.712471,14065221070.441359,14309187101.28725,13938717254.623247,13934056088.43464,13918351079.177258,14031099157.318556,14190298445.23767,14309706108.268925,14430354992.862284,14677008467.976255,14777054726.542332,14948413557.656023,14147451704.272337,14192544641.933989,14919803683.438585,Q
1,0,0.25,5032,12674633578.494413,12943373987.866604,13254297539.838375,13650662879.599312,14256082944.294714,14373089129.180428,14606557107.781874,14738295127.011175,14772037345.13603,15154839705.37142,14916518573.265278,14744422750.995766,14929544981.368256,14825272993.133846,14933758407.822775,14894646142.687382,14842975178.88439,Q
2,0,0.25,1730,12375067639.289278,12629019974.043262,13047979535.050241,13447209943.439283,13963828546.99006,14325939461.50516,14352765644.70149,14508890483.412777,14914415776.269453,15339944800.00191,15180371281.196943,15332900890.728958,15530615879.095213,15201593436.351507,15167886671.281055,15051433876.271832,15112745563.428158,Q
3,0,0.25,730,11803584361.604328,12361671716.41489,12665200919.361687,13194893777.219234,13922038794.848228,14229085383.562412,14428156081.589169,14624578829.656628,14632995912.406647,14923570696.930496,15414096301.936104,15489284919.406544,15597918476.026934,15528906655.226976,15982083059.2879,15922216232.166567,15639982797.291796,Q
4,0,0.25,336,11009009289.389862,11187977111.033113,12196107060.98775,12434242279.399826,12887990499.697334,13636345904.322882,13515371189.492731,13960570348.199255,14848504495.135761,15133384407.12491,15828560779.496689,16120056678.368893,16584939213.838675,16462991131.424929,16753555889.912685,16511630337.679129,16245750848.112223,Q
