s,m,diag,compA,compB,count,mean,sum,std,pct10,pct25,pct75,pct90
0.25,0,offdiag,FE,noise,90,-1.405212631019644e+17,-1.2646913679176796e+19,4.8139770272969254e+17,-5.371194862309135e+17,-3.774449675101355e+17,2.0183803489518394e+17,3.9640419281175405e+17
0.25,0,offdiag,base,FE,90,8.091184064638396e+17,7.2820656581745566e+19,4.021034673817724e+17,3.219675555116842e+17,5.192895875371191e+17,1.0473850334932132e+18,1.305124012677835e+18
0.25,0,offdiag,base,base,90,8.468012205867744e+17,7.621210985280969e+19,5.870735410160484e+17,9.872460366363578e+16,4.3942266136887424e+17,1.1988386591448028e+18,1.8722020764633974e+18
0.25,0,offdiag,base,noise,90,-1.2975554324852779e+17,-1.1677998892367501e+19,6.285154942225271e+17,-7.233527720676607e+17,-2.745831629207007e+17,1.7979072573662906e+17,5.403165173533323e+17
0.25,0,offdiag,noise,FE,90,-1.4052126310196438e+17,-1.2646913679176794e+19,4.813977027296925e+17,-5.371194862309135e+17,-3.774449675101355e+17,2.0183803489518394e+17,3.9640419281175405e+17
0.25,0,offdiag,noise,base,90,-1.297555432485277e+17,-1.1677998892367493e+19,6.285154942225271e+17,-7.233527720676607e+17,-2.745831629207007e+17,1.7979072573662906e+17,5.403165173533323e+17
0.25,0,offdiag,noise,noise,90,-7494733146140220.0,-6.745259831526198e+17,3.122398096674105e+17,-3.225719743534026e+17,-7.570288096688814e+16,7.585757521272547e+16,2.7454921395732918e+17
0.5,0,diag,FE,FE,10,3.251896332019291e+18,3.2518963320192913e+19,5.808938744161097e+17,2.761074179828514e+18,2.9935779231676324e+18,3.273174602008518e+18,3.4870545364417377e+18
0.5,0,diag,FE,base,10,1.2030524404848187e+18,1.2030524404848187e+19,6.688464958253042e+17,5.636092190573394e+17,6.673866846010779e+17,1.7731165625472492e+18,1.927611072368964e+18
0.5,0,diag,FE,noise,10,-1.1417196572628749e+18,-1.1417196572628748e+19,3.6878449367597563e+18,-7.340661848125543e+18,-1.862326074843173e+18,8.580001593244856e+17,2.01018130050882e+18
0.5,0,diag,base,FE,10,1.2030524404848187e+18,1.2030524404848187e+19,6.688464958253042e+17,5.636092190573394e+17,6.673866846010779e+17,1.7731165625472492e+18,1.927611072368964e+18
