q,m,s,nqs,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,parts
4,0,0.1,304,11025514138.519709,11366654968.584211,11996114692.969835,12307727368.870455,13081175876.651484,13613535158.57515,13788224487.869045,14467527603.103188,15536031907.479237,16143477549.086424,16561508797.663082,16509837458.951508,17282115834.57987,17260678230.58035,18120674518.05906,17926003956.40454,17830847129.394363,Q
5,0,0.1,135,11547552340.748396,12210066273.973564,12581531241.6552,13087821258.743147,14169483797.117935,14685725417.88183,15131232926.518814,15347579047.940367,15204356499.810976,15742303749.352886,15742303749.352886,16203639989.181372,16917978588.782509,16852192924.620598,16374383210.38838,16166142262.06392,16314310034.95456,Q
6,0,0.1,51,12360798896.848251,12360798896.848251,12615235379.436995,13365882257.25912,13870701137.411999,14767376298.874414,14767376298.874414,14767376298.874414,15608041767.729963,15119315201.34649,15404865879.862795,16660166839.680819,16660166839.680819,16512327113.517145,16005237275.324072,16004395609.311953,16004395609.311953,Q
7,0,0.1,16,11413244551.202806,11413244551.202806,11526339130.034916,12932655989.407864,12932655989.407864,14018181575.677351,14018181575.677351,14018181575.677351,14018181575.677351,14018181575.677351,14018181575.677351,14018181575.677351,14018181575.677351,14015821661.688347,14018181575.677351,14015821661.688347,32265153516.677357,Q
8,0,0.1,5,9365634875.056988,9365634875.056988,10203395624.415531,10203395624.415531,10203395624.415531,10203395624.415531,10203395624.415531,14308101115.133783,14308101115.133783,14308101115.133783,14308101115.133783,14308101115.133783,22208889655.42627,22208889655.42627,22208889655.42627,21371128906.067726,21371128906.067726,Q
9,0,0.1,2,10421259205.821003,10421259205.821003,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,16837748697.623709,Q
0,0,0.25,202534,14285716807.083761,14519198563.527754,14636490083.907228,14716874018.333405,14358100634.150263,14272502315.51446,14305104406.290897,14490418436.873266,14762878372.865297,14860072348.516865,14942907060.798498,15208340555.727135,15179241562.83779,15274295808.193645,14668806951.661077,14722597266.884958,15388792345.250843,Q
1,0,0.25,4883,13289581452.321625,13728087795.340017,14051219760.718948,14330964577.384151,14765952085.637625,15032611924.035364,15119101370.577248,15148527889.174278,15290681167.368378,15505080233.547573,15348521976.402678,15171030587.30477,15473266963.843761,15093038895.197075,15222429672.428806,15114842730.347414,15050076644.29109,Q
2,0,0.25,1658,12660365793.233097,13111904481.869045,13583586583.41815,13813500361.391596,14216373633.962046,14508672727.555752,14753227666.985874,14976441870.70693,15312659696.612383,15604974452.946857,15645822022.32703,16066878545.00319,15995039147.644634,15992576806.397234,15961539520.20375,15835242992.226933,15911778304.985853,Q
3,0,0.25,706,11808023669.192295,12136566510.846601,12711204860.552526,13232436398.029133,14030625554.79716,14394984785.496817,14737472976.47075,15346212526.076569,15416709944.685495,15448607663.411787,15682064334.299885,15800397962.716127,16102765257.032309,16515644626.20591,16631471161.77842,16815237644.605396,16469774849.758865,Q
