q,m,s,nqs,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,parts
3,0,0.1,747,10816708417.150349,11674834005.181807,12394615974.538612,13268537435.61163,14162990925.68967,14257285310.538311,13964636419.34144,14265538768.905653,14634509159.997921,15127990085.771093,15502113489.72757,15858980054.415543,15467920583.408117,16034148712.082628,16308736229.09271,16038967141.980486,15563509085.301926,Q
4,0,0.1,351,9851062677.55818,10270994457.303806,10999402745.644508,11656380601.81545,12537164609.027277,12892735708.280724,12929002387.897387,13838860549.165745,14942912008.7513,15961434117.793165,16522557785.287174,16691244845.143574,16704207516.229431,17231800649.746468,17515368634.84174,17131943383.962702,17502052481.639313,Q
5,0,0.1,161,9212982154.577,9748495888.328077,10068856831.875927,10643436932.301813,11827690207.628475,12891394230.213549,13752013945.665804,14750016975.541943,15804167634.74073,16228560578.851799,16783861494.986713,17063107289.884098,16535168756.929523,17453119245.233315,17544749161.34804,17544130947.55875,16843604931.31874,Q
6,0,0.1,77,9114666241.367868,9516303568.614304,10286605353.210955,11341655930.677782,12373535385.096638,13242663698.074322,13403289539.069294,14471858664.093344,15872439796.244572,16730208776.22465,17059155581.79885,17846986345.039932,16622175334.697075,17279240109.376976,17496606437.252895,17107311049.155396,16854990951.336653,Q
7,0,0.1,32,9886180838.689236,10219452251.896708,11014663405.40828,12053191718.25624,12464752899.024803,13336744894.524012,13288684988.437971,14317388528.955372,15432197554.52479,16335331678.009611,16539621032.751888,17023666012.962267,16194950940.980404,16579119101.939074,16591698921.446615,16362677420.760035,15008397121.06171,Q
8,0,0.1,9,5737992869.011198,5370582334.71294,7148609507.891218,9453083522.088041,9093065331.739857,8990462926.083347,8968809876.136782,12661220685.414482,13701745596.589228,13645782488.266912,13627852634.309216,13567412256.684336,18341750638.685234,19375162047.90189,19720203624.330765,20871322690.610493,20093895202.75743,Q
9,0,0.1,2,8217473504.989445,7762913697.319799,13892158812.502659,15657099659.832193,15451564552.955639,15969882684.557627,16373679684.470427,17383440454.127266,18170021897.838375,18765280264.7754,19116582567.44744,19704005816.30671,17840234196.80681,18160132988.662018,19226439683.603413,19114671522.513157,14936934717.77981,Q
0,0,0.25,202127,14578777072.225914,14685043324.210817,14635864701.490366,15523678431.770061,15111379531.637995,14486129064.122036,14226855589.96957,14656858014.80457,15045317086.160461,15574724786.690878,16380536545.805208,16921097974.420753,15710289648.129116,16881306315.950518,16618981189.752007,17058777019.775908,17931019157.819317,Q
1,0,0.25,5064,11816128251.523466,12685048332.143974,13310909242.240553,14494897633.336004,14940049137.01582,14819718857.8232,14944126094.054874,15363827482.388754,15689198078.72767,16647284325.939154,17175004915.255838,17315948450.222336,16093452027.202766,16969063124.588816,18066639914.92843,18125198227.99586,17501899448.897377,Q
2,0,0.25,1733,10963398647.76057,11855286061.531162,12541678575.341013,14326793702.89739,14805780787.585102,14765087797.534458,14674824538.63983,15381327888.241869,16059668251.765821,17104315306.312775,17424519847.995926,17891280115.37688,16127410932.179356,17577764091.235317,18284540875.44175,18314946107.680714,17983359392.973907,Q
3,0,0.25,752,10344372411.622673,11522698431.779816,12517208643.20284,14060427223.299685,15042189929.320196,15204124474.577002,14690850067.58243,15199390283.55252,15779637664.335697,16820816651.999968,17544879571.356262,18170911682.468178,16415857299.502764,17643035826.88102,18685162592.25988,18173417039.27169,17730415438.844006,Q
4,0,0.25,352,9722857720.076347,10494835333.769941,11184704950.318459,12566681801.736132,13310807948.903898,13719745823.824556,13511239118.291782,14400337632.622784,15743474753.675045,17642506230.380566,18292328940.763783,18447070926.856354,17587734057.809486,19117853927.97446,20280185237.042847,19615638979.46258,19850183895.073215,Q
5,0,0.25,162,8258593219.014588,9164641619.269175,9656094095.017082,10837329270.85066,12019513152.416506,13138051623.746283,14092110682.847614,15782099159.256283,17442177662.07164,18182487001.109222,19289976474.712708,19759531103.017128,17916699292.267895,19568518347.49169,20606495399.939278,20658126056.98622,19139546809.821285,Q
6,0,0.25,76,8025418537.972623,8724034746.87963,9311452880.683367,11065755953.983868,11926854872.355772,12828406069.726345,13236505427.44281,14590860745.488708,16686957710.174423,18616254320.701336,19500034966.785625,20409732057.39565,17964937701.217793,19852309104.161133,20404290726.864086,19707404870.444424,19215258866.86747,Q
7,0,0.25,33,9301535967.891918,10179984253.657383,11586460225.293495,13244978960.04922,14101809833.287895,14397732201.669737,13814242342.484812,14710379922.053165,15746252571.345543,18162297576.16561,18690986392.500927,19842773200.261887,18158786615.722965,19693687712.679382,20587357004.706223,19824062430.37424,17664551834.72338,Q
8,0,0.25,9,5520987246.16147,4597962001.689247,7731855523.862978,11862902565.84932,10727377471.950794,10528877236.993565,10526331606.205086,13536178712.060785,16625736356.237364,16983483333.944553,17016482268.695127,16710863592.020088,17503091209.219463,19808170117.23218,20787555690.886395,23797813027.07737,21904817111.010967,Q
9,0,0.25,2,5753942054.835341,4990931368.204904,10426186677.156132,14040452408.50406,13583729135.214127,14756367104.694286,15719713320.164757,18239757601.854313,20395027153.79548,22120962986.3051,23131604647.54683,25038098573.833878,19480290281.15489,20371293878.09147,23648622747.802532,23391967061.81614,12653194883.30024,Q
0,0,0.5,202229,22103813933.613148,20725031264.15977,19643472404.714535,21559854530.99416,20708177616.92227,18914886032.369724,18075940576.81465,18826434278.01458,19532741376.243965,20545955549.81773,22842792339.841724,23767037572.370663,20262196163.176537,23153743888.55196,24043802381.362926,24687159717.348198,26760583549.778973,Q
1,0,0.5,5056,18311029499.598347,18201503122.882084,17993939683.681507,20767659376.645294,20306157681.903576,19181264689.293434,18597120072.072487,19529379539.527782,19987709979.028606,22134437610.63969,24003752627.320175,24405378207.166306,20531023606.299435,23253147163.516823,26155605617.440186,26491205079.45522,26225044523.634327,Q
2,0,0.5,1719,15440630405.4826,16246391564.896975,17321804141.22315,21019549108.660236,20321870232.834305,19160282882.150005,18240613730.386562,19370712153.25614,20590217526.89641,22728130508.61025,24569077580.704956,25659487684.93799,20558994122.072586,24272243549.23104,27159917528.958797,26584884366.747627,26867398550.78656,Q
3,0,0.5,720,13866708212.950312,16079650514.937548,16757994615.364344,20202759992.247326,20157885373.31122,20756295407.22653,19970253328.52661,20600726586.267643,20419468110.244923,22731694045.91504,24359672188.213135,26072411951.480614,20410439711.24643,23359094664.60758,26549161810.51444,26337502003.511852,26895007584.72176,Q
4,0,0.5,325,14881784948.13832,16673249474.971233,16611736063.207624,19476503683.923187,19211716340.991558,18294475622.51011,17361831150.479824,17773703436.5237,20242725026.093533,25274979586.6858,24701246174.373722,24461399610.664013,22419914212.64821,25634986776.66604,29462063142.693966,27147441590.52453,26629596787.322968,Q
5,0,0.5,153,9955215116.631733,12340224703.96727,12763853479.909798,17798580355.116356,17799149547.58724,15969210529.716658,17061476588.112576,20447907410.49777,24506182851.187824,25403025041.603416,27449404997.22687,26831498298.130775,21921372904.893517,26016455661.524,30225892995.56542,31181656756.581726,28028620102.119858,Q
